id,lon,lat
89a90129c3bffff,-51.175880670762126,-30.038472907038603
89a90129d23ffff,-51.19968857724468,-30.02534431530044
89a90128113ffff,-51.21636032732244,-30.061375424903325
89a9012ae07ffff,-51.24162225132695,-30.0841723669291
89a90128687ffff,-51.18087260001955,-30.086589297807343
89a90129e8bffff,-51.15162138489088,-30.040533625838066
89a90129d0fffff,-51.19373687061575,-30.02862912360981
89a901298d7ffff,-51.16948036767297,-30.03069312724066
89a9012b063ffff,-51.15121712107894,-30.10574508998309
89a90129e67ffff,-51.151062011200175,-30.026704148051714
89a9012988fffff,-51.17543300299636,-30.02740941332855
89a90128543ffff,-51.20788162773128,-30.07735341817797
89a9012a307ffff,-51.22079380303083,-30.095656527043346
89a9012b11bffff,-51.17239090476067,-30.102555943210895
89a90128293ffff,-51.17722428625294,-30.071649728211735
89a90128257ffff,-51.16773523591877,-30.062745972472108
89a90129acbffff,-51.14168463417875,-30.020564338727574
89a9012b313ffff,-51.153858521220755,-30.095815121275002
89a901282c7ffff,-51.17093574497632,-30.066635923315502
89a90128043ffff,-51.18626530086124,-30.06948940070811
89a9012ae77ffff,-51.238422321643526,-30.080288668943254
89a9012866bffff,-51.168182868206486,-30.073804922563475
89a90128a8bffff,-51.214902590127686,-30.025437666815783
89a9012b1a3ffff,-51.18452104098568,-30.101524216756072
89a90128617ffff,-51.17767235424495,-30.082699603075007
89a90128007ffff,-51.198393522627526,-30.068456403157903
89a90128c2fffff,-51.242801278429575,-30.038312267721633
89a901282abffff,-51.179864782987124,-30.0617146831035
89a901283d3ffff,-51.18890517029805,-30.05955868659099
89a90129d93ffff,-51.197272975920605,-30.04081601809949
89a90129dc7ffff,-51.190985053964816,-30.03579863259171
89a90128e0fffff,-51.215351055724355,-30.036496502929662
89a9012a14fffff,-51.230169503359534,-30.10178608144892
89a9012ae5bffff,-51.226520685584156,-30.086852452593313
89a9012a377ffff,-51.21759398666339,-30.091772326951787
89a90129ed3ffff,-51.145667825306525,-30.04381626065696
89a9012884bffff,-51.22405304442038,-30.026040585413664
89a9012aa47ffff,-51.231686460783095,-30.064228125145707
89a90128437ffff,-51.205130144864114,-30.084518658288957
89a9012a167ffff,-51.239095810376014,-30.096860847813325
89a90129bb7ffff,-51.18368927714075,-30.00588809641473
89a9012992bffff,-51.195816601235926,-30.004859862480973
89a9012b347ffff,-51.14756897654009,-30.090804731128795
89a9012845bffff,-51.184073088330784,-30.09047439905121
89a9012913bffff,-51.155045373376225,-30.049955758648295
89a9012b32fffff,-51.159476661414,-30.0842480771056
89a90128077ffff,-51.19519351461447,-30.064571636435264
89a90129903ffff,-51.1930649413764,-30.012033950514912
89a90128433ffff,-51.20215396435872,-30.08616121015658
89a90128e63ffff,-51.212151413992984,-30.032607615935653
89a9012999bffff,-51.19340087600807,-30.02033154284784
89a9012ac4bffff,-51.24802156530975,-30.091939520554007
89a90128577ffff,-51.216808808747246,-30.07242968232008
89a90129973ffff,-51.189865004398776,-30.00813999020151
89a901291afffff,-51.16122254182032,-30.05220446229111
89a9012841bffff,-51.1932257865287,-30.09107943570272
89a90129587ffff,-51.15925280698203,-30.078720853591687
89a9012816bffff,-51.20984842241296,-30.050836333991654
89a90129d7bffff,-51.18756108098832,-30.026377422525133
89a90129dafffff,-51.20288848075972,-30.029238023817136
89a901299cfffff,-51.18711315043041,-30.01531395203572
89a90129cdbffff,-51.164199038654104,-30.05056282907847
89a901290b3ffff,-51.14060836159081,-30.06921225242298
89a901299a7ffff,-51.20519160532315,-30.01100034054682
89a90128473ffff,-51.19300165976155,-30.08555228087697
89a9012848bffff,-51.19642592874012,-30.094964232159196
89a9012917bffff,-51.145891486063995,-30.049343538796304
89a90129153ffff,-51.143138254002395,-30.056516548387183
