"","id","lon","lat","population","schools","jobs","healthcare"
"108","89a90128473ffff",-51.1930016597615,-30.085552280877,930,0,3,1
"109","89a9012848bffff",-51.1964259287401,-30.0949642321592,18,0,0,0
"110","89a9012917bffff",-51.145891486064,-30.0493435387963,669,1,95,0
"111","89a90129153ffff",-51.1431382540024,-30.0565165483872,820,0,4,0
"112","89a90e934bbffff",-51.1560083354961,-29.9985236478668,416,0,308,0
"113","89a90128ad3ffff",-51.2089516984666,-30.0287186481376,1143,1,1509,1
"114","89a9012aadbffff",-51.2290475048421,-30.0741596764441,907,1,35,0
"115","89a9012852fffff",-51.2227600979356,-30.0691483588744,1027,0,14,0
"116","89a90129b83ffff",-51.1747612138412,-30.0108141349132,402,1,58,0
"117","89a9012b00fffff",-51.1544180471429,-30.1096309031091,183,0,2,0
"118","89a901289d7ffff",-51.2543637166247,-30.023449589709,281,0,0,1
"119","89a901284a7ffff",-51.2083302135339,-30.0884031680778,484,0,45,0
"120","89a90128507ffff",-51.2200089497264,-30.0763184268155,238,0,0,0
"121","89a90128117ffff",-51.2193358662145,-30.0597370616628,891,0,180,0
"122","89a90129b13ffff",-51.1715610566327,-30.0069197270856,303,0,130,0
"123","89a9012b387ffff",-51.1600362470924,-30.098063857565,0,0,0,0
"124","89a90128abbffff",-51.2208534029028,-30.0221519038735,0,0,2,0
"125","89a90129e4fffff",-51.1421320852741,-30.031627968165,573,1,81,0
"126","89a9012b1d7ffff",-51.1726149016103,-30.1080831221328,62,0,0,0
"127","89a901298d3ffff",-51.1665042266531,-30.0323348827498,335,0,111,0
"128","89a901282c3ffff",-51.167959204768,-30.0682777059948,896,0,22,0
"129","89a9012a3b3ffff",-51.2270818141948,-30.1006633998318,523,0,39,0
"130","89a90128047ffff",-51.189241257144,-30.0678517176899,1298,1,54,0
"131","89a90129d27ffff",-51.2026642922108,-30.0237063225134,785,0,2191,0
"132","89a90128403ffff",-51.1962019472001,-30.0894415986234,117,0,1,1
"133","89a9012866fffff",-51.1711595696503,-30.0721631355739,1391,0,22,1
"134","89a90128c6fffff",-51.2336515260421,-30.0377061450135,420,1,38,0
